"Reference","Value","Footprint","Datasheet","Digikey Part #","Price","Qty"
"C1","330u","Library:CAPC3225X280N","~https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM32EC80E337ME05-01A.pdf","GRM32EC80E337ME05K","$1.83","1"
"C2, C3","1u","Library:Cap0805","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1105/CL21B105KAFNNNE_Spec.pdf","CL21B105KAFNNNE","$0.10","2"
"C4","27p","Library:Cap0805","https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C0805C270K5GACTU","C0805C270K5GAC7800","$0.10","1"
"C5","100n","Library:Cap0805","https://www.yageo.com/upload/media/product/app/datasheet/mlcc/upy-gphc_x7r_6_3v-to-250v.pdf","CC0805KRX7R9BB104","$0.10","1"
"H1-H4","MountingHole","MountingHole:MountingHole_2mm","~","","","4"
"J1-J5","Conn_01x01_Pin","Library:ADAM-TECH_PH1-01-UA","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://app.adam-tech.com/products/download/data_sheet/201605/ph1-xx-ua-data-sheet.pdf","PH1-01-UA","$0.10","5"
"J6","Screw_Terminal_01x03","Library:CONN_1984976_PXC","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2515/COMBICON%20Spring-Cage%20PCB%20Term.%20Blocks.pdf","1984976","$0.62","1"
"MK1","Microphone_Condenser","Library:CMA_CUI_9P7X9P7_CUD","https://www.cuidevices.com/product/resource/cma-6542pf.pdf","CMA-6524PF-W","$0.78","1"
"R1, R3","1k","Library:RESC2012X60N","~chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","RMCF0805FT1K00","$0.10","2"
"R2, R4, R9","100","Library:RESC2012X60N","https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rc_group_51_rohs_l.pdf","RC0805FR-07100RL","$0.10","3"
"R5","2M","Library:RESC2012X60N","https://www.vishay.com/docs/28773/crcwce3.pdf","CRCW08052M00FKECC","$0.10","1"
"R6","1M","Library:RESC2012X60N","~chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","RMCF0805FG1M00","$0.10","1"
"R7","10K","Library:RESC2012X60N","~chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","RMCF0805FT10K0","$0.10","1"
"R8","499k","Library:RESC2012X60N","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_14","CR0805-FX-4993ELF","$0.10","1"
"U1","MAX4466","Library:Mic_Op_Amp","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.analog.com/media/en/technical-documentation/data-sheets/max4465-max4469.pdf","MAX4466EXK+T","$0.90","1"
